Entry	Query
Q86U86	AAP34197.1
Q9UKI8	BAA20562.1
Q15543	CAA58827.1
Q9HAV5	AAN73210.1
P17861	BAB82982.1
Q8N131	AAH32296.1
Q86T24	AAH42753.1
Q9H307	AAB48304.1
Q6PK04	AAH09369.1
P02545	CAA27173.1
Q8NFX7	AAM46624.1
Q15154	AAA60120.1
Q99708	AAH30590.1
P25440	AAH63840.1
Q9XRX5	AAH10922.1
Q13324	AAB94503.1
Q9H7Z6	AAH37773.1
Q9UN79	AAC83687.1
O43474	AAH30811.1
P25311	CAA42438.1
Q13243	AAA93070.1
Q14696	AAH09210.1
Q14978	AAH01883.1
P41235	CAA89989.1
Q9ULT6	CAG30283.1
P01871	CAA34971.1
Q8N9W6	BAC04171.1
Q6NYC8	AAH66644.1
O95782	AAH14214.1
Q96DX5	AAH13172.1
Q86WT6	AAH47945.1
Q99471	BAA14006.1
Q96Q89	BAB69456.1
Q8IZD4	AAN62764.1
Q969H4	AAH11604.1
P20585	AAB47281.1
Q14201	AAH11957.1
Q2M3G0	AAQ03033.1
Q96JA3	AAK55424.1
P41594	BAA05892.1
Q15046	AAG30114.1
O43889	AAC04325.1
Q9NR19	BAC03849.1
Q99755	AAC50911.1
Q96BT3	AAH15202.2
Q99615	AAH11837.2
Q96AE4	AAH17247.1
Q6NWY9	AAH67364.1
O95196	AAQ04776.1
Q96AY2	AAH16470.1
P26640	CAA41990.1
O75144	AAF34739.1
P06729	AAA51946.1
P98171	AAH52303.1
Q9UQB9	AAC25955.1
Q9UIV1	AAH60852.1
Q8IVG9	AAK50430.1
Q9BTT6	AAK69623.1
Q5YKI7	AAR26431.1
Q9NUT2	BAA92038.1
Q96FC9	AAH50522.1
P32241	CAA53046.1
Q9BXJ1	AAG44303.1
Q9Y6U3	AAH21090.1
Q5BKT4	CAC41349.1
Q9NZJ7	AAF12793.3
Q6WBX8	AAQ62859.1
P63010	AAH06201.1
Q96BD5	AAH15714.1
O76027	AAG16780.1
Q9P0U4	AAH15733.1
Q9Y547	AAQ03994.1
Q13761	AAH13362.1
Q9Y3C4	AAN76356.1
Q96B01	AAH16330.1
Q9UHC1	BAA92353.1
O15194	BAA21667.1
P49682	AAP55851.1
Q9UNL4	AAG43153.1
Q7Z5K2	AAO14651.1
O95319	AAH36391.1
Q9UJ41	BAC87138.1
P00395	AAK17573.1
Q8IWQ3	BAD18671.1
Q9P2K8	BAB15625.1
P49023	BAA18998.1
P09466	AAA35801.1
Q8WXF1	AAL59601.1
O95785	BAD18551.1
Q16836	AAB54009.1
P53671	AAH13051.1
Q96PB7	AAQ89084.1
P41586	BAA04466.1
Q16630	AAH00714.1
O95155	AAD02233.1
O14917	AAH28165.1
Q99250	AAA18895.1
P58753	AAH32474.1
O15198	BAA21128.1
Q8N2X6	AAH29796.1
Q8IYJ3	AAK67636.1
Q7Z628	AAH53553.1
P11171	AAD42222.1
P61812	AAA50404.1
P14151	CAB55488.1
Q15131	CAA55137.1
Q96RI1	AAM53550.1
Q96EP1	AAF91084.1
Q8NFM7	AAM77571.1
Q15562	AAH51301.1
Q96MU7	AAH41119.1
Q96PE3	AAH28361.1
O43493	AAC39542.1
Q16629	AAH22328.1
Q96RT1	AAK69431.1
Q9HCN2	BAB16421.1
O14733	AAC16273.1
Q7KZF4	AAP88787.1
Q9Y4C0	CAC87720.2
Q9UJ78	CAB57262.1
Q8IZL9	AAC98920.1
Q9BW83	AAH00566.1
Q15759	AAB05036.1
Q9H6S3	BAB15180.1
Q96S94	AAK67631.1
Q9BWV1	AAQ88694.1
Q9BXF3	AAK15343.1
Q14839	AAH38596.1
Q674X7	AAS86434.1
Q92974	AAL96658.1
O95201	AAH02810.1
P60983	AAH05359.1
Q70EL2	CAE47746.2
O75531	AAC08964.1
P12270	AAB48030.1
Q8NFI3	AAM80487.1
Q06265	CAD56889.1
Q8NC51	AAH26916.1
Q8NBM4	BAC11609.1
P49758	AAD34717.1
Q9UHB4	AAL77754.1
P16885	AAH11772.1
Q9UHD8	AAF23374.1
P05019	AAA52539.1
Q86YP4	AAO31797.1
P53675	AAC50494.1
Q9BUL5	AAH02509.1
Q7L1S5	AAQ88852.1
Q9UIG0	BAA89210.1
Q8N1S5	BAC04504.1
O14787	AAB83973.1
Q14005	AAQ86961.1
P31751	AAA36585.1
Q8TF05	AAL78298.1
Q9NTX7	BAB55196.1
Q99584	AAH00632.1
P49406	AAH30144.2
P13224	AAA20398.1
Q9Y6M4	AAD26526.1
Q9C0B7	BAB14224.1
O00358	CAA64246.1
Q92540	AAH36381.1
Q9HCM2	BAC04587.1
Q96S53	BAB62909.1
Q58F21	AAQ16198.1
Q9H1X3	AAH48318.1
Q9GZT8	AAH07654.1
Q15283	BAA11621.1
Q9Y2Z0	AAQ76039.1
Q7L4P6	AAH07932.2
P01344	AAA52443.1
Q14847	AAH07560.1
Q96S96	AAK67629.1
Q9NPI1	AAF19526.1
Q13153	AAC24716.1
Q9H0Q3	AAQ89335.1
Q9P2P6	CAH18258.1
Q13952	AAG28389.1
Q8TAM2	AAH26351.1
Q7Z4I7	AAM77350.1
Q13639	CAC79538.1
P21359	AAA59925.1
Q9NYB9	AAF70308.1
Q8NCD3	BAD36741.1
P80098	CAA50405.1
P67936	BAB14554.1
Q14980	CAA77669.1
Q9UKJ0	AAG17224.1
P45880	AAA60144.1
Q9HCN6	BAB12247.1
Q9UHW9	AAD39742.1
Q6UW60	AAQ89322.1
Q96GD3	AAH09752.1
Q9H7M9	AAH20568.1
Q9H2L5	AAO61140.1
O95249	AAC39889.1
Q8N9N2	BAC04299.1
Q96D21	AAG00868.1
Q15532	AAK21314.1
Q9NRL2	BAA89209.1
P16298	AAH28049.1
Q9BXA6	BAD18805.1
Q9HBW0	AAC27728.1
Q7Z569	AAC24200.1
Q96BI3	AAH20590.1
